127.0.0.1 - - [24/Apr/2016:16:20:17 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:20:20 -0700] "GET /CSE135/productsBrowsing.jsp HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:20:20 -0700] "GET /CSE135/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:20:20 -0700] "GET /CSE135/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:20:20 -0700] "GET /CSE135/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:20:20 -0700] "GET /CSE135/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:23:12 -0700] "GET /CSE135/productsBrowsing.jsp HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:24:34 -0700] "GET /CSE135/productsBrowsing.jsp HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:24:34 -0700] "GET /CSE135/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:24:34 -0700] "GET /CSE135/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:24:34 -0700] "GET /CSE135/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:24:34 -0700] "GET /CSE135/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:24:49 -0700] "GET /CSE135/productsBrowsing.jsp HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:24:49 -0700] "GET /CSE135/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:24:49 -0700] "GET /CSE135/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:24:49 -0700] "GET /CSE135/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:24:49 -0700] "GET /CSE135/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:26:21 -0700] "GET /CSE135/projectOrder.jsp HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:27:32 -0700] "GET /CSE135/buyShoppingCart.jsp HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [24/Apr/2016:16:28:32 -0700] "GET /CSE135/confirmation.jsp HTTP/1.1" 200 1761
